financial_year,state_code,state,month,month_date,intrastate_suppliers,intrastate_ewb_count,intrastate_assessable_value,interstate_out_suppliers,interstate_out_ewb_count,interstate_out_assessable_value,interstate_in_suppliers,interstate_in_ewb_count,interstate_in_assessable_value
2018-19,01,Jammu and Kashmir,2018-07,2018-07-01,3171.0,120989.0,2083.7662087950002,1711.0,25744.0,2243.508837301,15449.0,151999.0,4567.1246182370005
2018-19,02,Himachal Pradesh,2018-07,2018-07-01,5581.0,185647.0,3606.3718240129997,4342.0,225165.0,9139.166811382001,19921.0,264357.0,7349.062065877
2018-19,03,Punjab,2018-07,2018-07-01,48967.0,1327692.0,26608.333632877,40582.0,658742.0,19846.072778757,53191.0,599862.0,21230.789959801
2018-19,04,Chandigarh,2018-07,2018-07-01,1950.0,25684.0,406.971305816,4534.0,67147.0,1142.360212429,7469.0,91630.0,1997.954864899
2018-19,05,Uttarakhand,2018-07,2018-07-01,8776.0,495449.0,7829.575273912,6308.0,298486.0,15067.081387132,18987.0,406753.0,12250.384024167
2018-19,06,Haryana,2018-07,2018-07-01,50698.0,2373359.0,40871.832657991,46642.0,1810409.0,51873.818516422,76656.0,1306910.0,48813.175854708
2018-19,07,Delhi,2018-07,2018-07-01,43214.0,681221.0,21545.283107035,104197.0,1292894.0,32072.16416694,99571.0,1106377.0,36953.448497028
2018-19,08,Rajasthan,2018-07,2018-07-01,52193.0,1237285.0,26277.739916319,39430.0,1018174.0,24360.046147693,72651.0,849514.0,30016.396815571003
2018-19,09,Uttar Pradesh,2018-07,2018-07-01,85448.0,2485159.0,49414.406377155,57189.0,1029488.0,43089.276276524,130330.0,1543210.0,55518.127193044995
2018-19,10,Bihar,2018-07,2018-07-01,4282.0,181249.0,5146.468028903,5024.0,46123.0,1998.444586139,39139.0,388765.0,11642.233780605
2018-19,11,Sikkim,2018-07,2018-07-01,101.0,2316.0,35.452384045,159.0,6650.0,1981.074915689,1344.0,24042.0,628.175920509
2018-19,12,Arunachal Pradesh,2018-07,2018-07-01,72.0,1780.0,22.051020235,129.0,1576.0,70.709939432,1870.0,15791.0,301.391996691
2018-19,13,Nagaland,2018-07,2018-07-01,35.0,711.0,32.202225587,167.0,1824.0,57.076589401,1901.0,17090.0,396.921177821
2018-19,14,Manipur,2018-07,2018-07-01,40.0,1043.0,23.220214058,56.0,389.0,10.164284258,1886.0,17356.0,399.18701739
2018-19,15,Mizoram,2018-07,2018-07-01,13.0,298.0,4.5687837369999995,45.0,182.0,12.60715953,1282.0,12245.0,267.309085969
2018-19,16,Tripura,2018-07,2018-07-01,390.0,9982.0,144.884917628,207.0,1800.0,149.05812476300002,3103.0,25007.0,591.938406609
2018-19,17,Meghalaya,2018-07,2018-07-01,238.0,7219.0,147.579849596,306.0,24848.0,414.105576296,2645.0,26130.0,604.189854241
2018-19,18,Assam,2018-07,2018-07-01,8110.0,278802.0,5585.846814728,6776.0,115535.0,4894.171592904,20127.0,207403.0,7394.190102723
2018-19,19,West Bengal,2018-07,2018-07-01,34335.0,1099145.0,33581.512953405,34375.0,570188.0,25342.398319151,50570.0,762564.0,32974.459292347
