financial_year,month,month_date,net_prior,net_cur,dom_cgst_prior,dom_cgst_cur,dom_sgst_prior,dom_sgst_cur,dom_igst_prior,dom_igst_cur,dom_cess_prior,dom_cess_cur,gross_domestic_prior,gross_domestic_cur,imp_igst_prior,imp_igst_cur,imp_cess_prior,imp_cess_cur,refund_prior,refund_cur
2024-25,2024-04,2024-04-01,,,35420.9229,41101.450000000004,43776.9063,50229.020000000004,48739.683600000004,57062.689999999995,10974.516700000002,12029.220000000001,151161.7595,171432.55000000002,75155.6015152,87459.44533135,11735.594154800001,12969.905633,20945.734630000003,18507.243621
2024-25,2024-05,2024-05-01,,,25353.120000000003,29208.49,31984.190000000002,36172.08,33666.329999999994,43540.32,10239.91,10898.16,114261.03,131783.32,66604.1416956,67204.3729739,11098.2904109,11744.0123649,22050.187893500002,28409.9401967
2024-25,2024-06,2024-06-01,,,28766.259299999998,29729.66,35557.5971,37020.490000000005,37012.09,42932.55,10721.59,11944.9,121433.5264,132800.16,68795.2519972,74369.4120253,11656.6036735,12747.4697318,16721.0943293,19945.513881299998
2024-25,2024-07,2024-07-01,,,26891.9357,30413.969999999998,34035.8283,37841.74,39550.9243,46206.2,10690.8627,11761.96,123026.421,134036.37,72592.2608436,84880.3145207,11376.585092899999,12656.6865797,20208.691063500002,16282.5393747
2024-25,2024-08,2024-08-01,,,25989.468399999998,27244.170000000002,32912.746399999996,34005.88,36107.75,38766.630000000005,10531.7577,10670.85,114502.6925,124985.54000000001,71035.60655550001,77720.1538886,11408.0375988,11531.2377183,17723.0435457,24460.1998243
2024-25,2024-09,2024-09-01,,,27629.5999,28775.2,34879.843,36036.899999999994,38977.5801,41533.340000000004,10606.3062,10819.8,120685.8092,127849.85,73268.668563,76461.1364467,11320.0256528,11508.5163579,15613.6120842,20458.3245504
2024-25,2024-10,2024-10-01,,,28292.181099999998,31299.829999999998,35935.3883,38717.009999999995,45986.5735,50341.76,11016.4331,11394.49,128582.43600000002,142250.67,79297.2848526,85969.3274088,12143.2409977,12054.7062145,16335.220749699998,19305.592456
2024-25,2024-11,2024-11-01,,,27467.199500000002,31815.030000000002,34704.4092,39808.99,42013.1561,45719.520000000004,10935.0889,12223.29,127694.59370000001,139678.15,72779.4976932,78436.46350915001,11834.742981700001,12949.852456300001,21142.9343251,19258.683066700003
2024-25,2024-12,2024-12-01,,,28361.2655,29929.57,35385.010500000004,36845.439999999995,38651.785,42916.6,11037.6529,11327.72,122269.7239,132588.88999999998,73593.315,75588.091129495,12069.282899999998,12003.343780899999,15473.330000000002,22490.100021
2024-25,2025-01,2025-01-01,,,141.47519999999997,30078.2672,184.36949999999996,37530.714900000006,-45.12700000000001,44250.4029,-15.9543,11000.6763,924.1734,133704.6513,2469.6676537,75600.7929,72.5778888,11641.2163,823.3833635000001,19255.14
