financial_year,category,month,cgst,sgst,igst,cess,total
2020-21,domestic,2020-04,10330.0464795,5950.921086800001,7955.9956673000015,632.3741950999998,19606.096406099994
2020-21,domestic,2020-05,18979.604221399997,12911.306727300002,16062.185497200002,5579.1226000999995,44882.66130410001
2020-21,domestic,2020-06,16146.770801499997,23970.286081899998,24593.6257843,7058.281783899999,74601.7978715
2020-21,domestic,2020-07,15905.884675999996,21418.305048200004,22267.345553099996,6458.251717099999,66290.67311989999
2020-21,domestic,2020-08,17741.0869341,21063.9932244,23085.230919199992,6542.3986538,66597.50747340001
2020-21,domestic,2020-09,19193.254735800005,23131.295346299998,25042.3626633,6335.543970000001,72250.28891369999
2020-21,domestic,2020-10,19189.2313498,25411.337570599997,29164.92065199999,7078.898096899999,80848.41105529999
2020-21,domestic,2020-11,21365.393042199998,25540.170658199993,29913.467966400003,7432.267170000002,82075.13714440003
2020-21,domestic,2020-12,21932.414225299995,27803.5747235,30375.247233399998,7608.476120199999,87152.69111930001
2020-21,domestic,2021-01,21092.255733299993,29024.645805499993,32868.64617280001,7739.308793799999,91565.01499740005
2020-21,domestic,2021-02,22973.2346975,27272.8050253,30871.289606200004,8865.243362600002,88101.59372740002
2020-21,domestic,2021-03,22973.2346975,29329.157996,31745.334619100006,7821.9752641000005,91869.7025767
2020-21,gross_revenue,2020-04,10330.0464795,5950.921086800001,20029.4956673,1125.1141951,32172.336406099996
2020-21,gross_revenue,2020-05,18979.604221399997,12911.306727300002,32702.565497200005,6207.0126001,62150.93130410001
2020-21,gross_revenue,2020-06,16146.770801499997,23970.286081899998,40302.6257843,7665.281783899999,90917.7978715
2020-21,gross_revenue,2020-07,15905.884675999996,21418.305048200004,42591.34555309999,7265.251717099999,87421.67311989999
2020-21,gross_revenue,2020-08,17741.0869341,21063.9932244,42264.230919199996,7215.3986538,86449.50747340001
2020-21,gross_revenue,2020-09,19193.254735800005,23131.295346299998,47483.9426633,7123.6639700000005,95479.98891369998
2020-21,gross_revenue,2020-10,19189.2313498,25411.337570599997,52539.570651999995,8011.288096899999,105155.45105529999
2020-21,gross_revenue,2020-11,21365.393042199998,25540.170658199993,51991.7479664,8241.747170000002,104962.89714440002
2020-21,gross_revenue,2020-12,21932.414225299995,27803.5747235,57425.5372334,8579.366120199998,115173.87111930002
2020-21,gross_revenue,2021-01,21092.255733299993,29024.645805499993,60292.64617280001,8625.5687938,119875.27499740005
