financial_year,state_code,state,month,month_date,cgst,sgst,igst,cess,total
2020-21,01,Jammu and Kashmir,2020-04,2020-04-01,0.68183664,0.52830714,4.6275989200000005,0.0,5.8377427
2020-21,01,Jammu and Kashmir,2020-05,2020-05-01,1.9378886940000002,1.7911853940000002,2.58356505,0.0,6.3126391
2020-21,01,Jammu and Kashmir,2020-06,2020-06-01,2.2359709,1.22596,4.5521733,0.0258787,8.0399829
2020-21,01,Jammu and Kashmir,2020-07,2020-07-01,1.2895334,1.2888644,0.210135,0.0,2.7885328
2020-21,01,Jammu and Kashmir,2020-08,2020-08-01,1.6714751,1.4799632,4.20725824,0.0139415,7.372638
2020-21,01,Jammu and Kashmir,2020-09,2020-09-01,1.1961962,0.7036992,2.0379577,0.0222,3.9600531
2020-21,01,Jammu and Kashmir,2020-10,2020-10-01,3.59649345,3.34315415,2.870912734,0.0,9.8105603
2020-21,01,Jammu and Kashmir,2020-11,2020-11-01,1.0736118,1.1656871,0.6954422,0.0010474,2.9357885
2020-21,01,Jammu and Kashmir,2020-12,2020-12-01,0.8441277380000001,0.612830138,4.407854552000001,0.000715,5.8655273
2020-21,01,Jammu and Kashmir,2021-01,2021-01-01,0.1959525,0.3791601,2.8140901,0.0,3.3892027
2020-21,01,Jammu and Kashmir,2021-02,2021-02-01,0.8567387,1.6969185,8.4740024,0.00052,11.0281797
2020-21,01,Jammu and Kashmir,2021-03,2021-03-01,2.52813014,2.67940964,3.6317754,0.002826,8.8421412
2020-21,02,Himachal Pradesh,2020-04,2020-04-01,7.5954819,8.6174491,9.94458062,0.0016195,26.1591311
2020-21,02,Himachal Pradesh,2020-05,2020-05-01,10.4837605,17.4699419,25.94099144,0.0673744,53.9620682
2020-21,02,Himachal Pradesh,2020-06,2020-06-01,10.679499,9.8539541,14.895080609999999,0.046928,35.4754618
2020-21,02,Himachal Pradesh,2020-07,2020-07-01,6.0291076,8.6060173,19.3476552,0.0,33.9827802
2020-21,02,Himachal Pradesh,2020-08,2020-08-01,9.9986569,18.8067955,27.82778982,0.005953,56.6391954
2020-21,02,Himachal Pradesh,2020-09,2020-09-01,7.2770348799999995,7.32787308,30.680376239999998,0.0021196,45.2874039
2020-21,02,Himachal Pradesh,2020-10,2020-10-01,6.6346828,8.7709045,12.9335113,0.015781,28.3548797
2020-21,02,Himachal Pradesh,2020-11,2020-11-01,13.37073252,11.64268972,30.327501119999997,0.0073528,55.3482762
2020-21,02,Himachal Pradesh,2020-12,2020-12-01,11.469495,14.6127811,15.2846616,0.0015363,41.3684736
2020-21,02,Himachal Pradesh,2021-01,2021-01-01,5.5148026,10.2285176,13.0461471,0.000225,28.7896925
2020-21,02,Himachal Pradesh,2021-02,2021-02-01,7.375792,11.654382,22.9427718,0.0015551,41.9745011
2020-21,02,Himachal Pradesh,2021-03,2021-03-01,14.7451944,15.6867048,32.5081913,0.0010636,62.9411539
2020-21,03,Punjab,2020-04,2020-04-01,23.426270451,47.141202189999994,15.494597881999999,0.43075147999999996,86.4928224
2020-21,03,Punjab,2020-05,2020-05-01,36.311510206,68.12909245,29.437472012,0.135366391,134.0134409
2020-21,03,Punjab,2020-06,2020-06-01,36.400843101,68.101105536,24.487719690000002,1.3806111,130.3702795
2020-21,03,Punjab,2020-07,2020-07-01,16.78016002,34.761053106,17.235201059999998,0.27534883,69.0517627
2020-21,03,Punjab,2020-08,2020-08-01,37.68391476,44.112991932,27.08645325,0.039426218,108.9227866
2020-21,03,Punjab,2020-09,2020-09-01,22.88161788,46.529317696,18.944557890000002,0.12740381,88.4828971
2020-21,03,Punjab,2020-10,2020-10-01,29.098553957999997,48.727529757999996,21.28134265,0.1507688,99.2581948
2020-21,03,Punjab,2020-11,2020-11-01,58.075348442999996,76.411724123,33.425261258,0.126961613,168.0392954
2020-21,03,Punjab,2020-12,2020-12-01,25.82283233,73.86413546200001,16.891846679,0.0026399,116.5814551
2020-21,03,Punjab,2021-01,2021-01-01,21.102626309999998,43.35149121,15.969939619999998,0.03359799,80.4576553
2020-21,03,Punjab,2021-02,2021-02-01,20.95088045,44.49359856,8.9342043,0.03180735,74.4104906
2020-21,03,Punjab,2021-03,2021-03-01,75.28534979,83.775013971,33.828033952,0.44407622,193.3324742
2020-21,04,Chandigarh,2020-04,2020-04-01,0.291639,0.3327881,1.8207312,0.0041469,2.4493052
2020-21,04,Chandigarh,2020-05,2020-05-01,0.8740176,0.6285178,1.3101051,0.0176759,2.8303164
2020-21,04,Chandigarh,2020-06,2020-06-01,0.32243135,0.33228025,0.9414334,0.0413304,1.6374754
2020-21,04,Chandigarh,2020-07,2020-07-01,0.675502919,0.670265317,0.986543817,0.0,2.332312
2020-21,04,Chandigarh,2020-08,2020-08-01,0.6507709,0.578693,1.5429436,1e-05,2.7724175
