constitution,total_taxpayers,female_count,female_pct
Foreign Company,1886.0,205.0,0.10869565217391304
Foreign Limited Liability Partnership,144.0,64.0,0.4444444444444444
Hindu Undivided Family,86040.0,3637.0,0.042271036727103674
Partnership,1470847.0,615955.0,0.4187757122256768
Proprietorship,11719409.0,1959367.0,0.16718991546416717
Public Sector Undertaking,6278.0,899.0,0.14319847085058937
Unlimited Company,128.0,54.0,0.421875
Private Limited Company,1019642.0,477002.0,0.4678132128727534
Any other body notified by committee,10006.0,9.0,0.0008994603238057165
Limited Liability Partnership,168206.0,81061.0,0.4819150327574522
Local Authority,104279.0,1294.0,0.01240901811486493
Others,85067.0,8337.0,0.09800510186088612
Statutory Body,4802.0,126.0,0.026239067055393587
Public Limited Company,86306.0,37720.0,0.43704956781683774
Government Department,196337.0,1269.0,0.006463376745086255
Society/ Club/ Trust/ AOP,143689.0,31221.0,0.2172817682634022
