state_code,state,normal,composition,isd,casual,tcs,tds
01,Jammu and Kashmir,144208.0,8728.0,30.0,7.0,260.0,8393.0
02,Himachal Pradesh,115597.0,15234.0,60.0,5.0,325.0,2467.0
03,Punjab,391164.0,35503.0,284.0,45.0,702.0,10594.0
04,Chandigarh,30069.0,1538.0,167.0,210.0,317.0,944.0
05,Uttarakhand,188128.0,29135.0,86.0,6.0,539.0,4541.0
06,Haryana,596795.0,13641.0,2548.0,50.0,1358.0,8081.0
07,Delhi,856841.0,15306.0,3568.0,194.0,1966.0,7434.0
08,Rajasthan,833945.0,113413.0,559.0,30.0,974.0,27170.0
09,Uttar Pradesh,1769877.0,288633.0,1389.0,37.0,1875.0,75565.0
10,Bihar,587612.0,79801.0,103.0,8.0,611.0,19001.0
11,Sikkim,10294.0,678.0,4.0,0.0,151.0,538.0
12,Arunachal Pradesh,18256.0,1865.0,3.0,1.0,144.0,1654.0
13,Nagaland,8936.0,1747.0,2.0,0.0,134.0,408.0
14,Manipur,13181.0,1375.0,14.0,0.0,171.0,719.0
15,Mizoram,8824.0,195.0,4.0,0.0,125.0,383.0
16,Tripura,30812.0,2747.0,11.0,0.0,175.0,1420.0
17,Meghalaya,29408.0,2038.0,14.0,5.0,174.0,764.0
18,Assam,206316.0,30200.0,76.0,12.0,434.0,4919.0
19,West Bengal,775609.0,51487.0,1161.0,38.0,1120.0,15606.0
20,Jharkhand,211025.0,13515.0,61.0,6.0,437.0,5081.0
21,Odisha,340390.0,24378.0,86.0,12.0,432.0,5679.0
22,Chattisgarh,158317.0,29192.0,101.0,51.0,415.0,14359.0
23,Madhya Pradesh,531500.0,38370.0,349.0,32.0,863.0,26523.0
24,Gujarat,1252571.0,89412.0,1947.0,37.0,1179.0,37193.0
25,Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0
26,Dadra and Nagar Haveli,15572.0,568.0,27.0,5.0,217.0,402.0
27,Maharastra,1802727.0,116731.0,7513.0,131.0,1975.0,54005.0
29,Karnataka,976165.0,95031.0,2272.0,169.0,1872.0,23382.0
30,Goa,42404.0,5250.0,140.0,11.0,317.0,1005.0
31,Lakshadweep,345.0,24.0,0.0,0.0,97.0,41.0
32,Kerala,378672.0,50567.0,423.0,57.0,1032.0,10252.0
33,Tamil Nadu,1140452.0,61283.0,1699.0,70.0,1636.0,23942.0
34,Puducherry,23090.0,2127.0,29.0,7.0,225.0,483.0
35,Andaman and Nicobar Islands,5258.0,712.0,6.0,2.0,121.0,376.0
36,Telangana,494393.0,47267.0,1000.0,106.0,740.0,22190.0
37,Andhra Pradesh,358266.0,80930.0,141.0,47.0,716.0,7145.0
38,Ladakh,9008.0,639.0,1.0,0.0,84.0,697.0
97,Other Territory,76.0,0.0,0.0,0.0,21.0,4.0
99,Center Jurisdiction,0.0,0.0,0.0,0.0,0.0,0.0
