financial_year,state_code,state,month,month_date,cgst,sgst,igst,cess,total
2017-18,1,Jammu and Kashmir,2017-07,2017-07-01,49.5505424,6.15e-05,2.3e-06,1e-07,0.0001256
2017-18,1,Jammu and Kashmir,2017-08,2017-08-01,71.3052319,103.1564229,95.472805,17.1526355,265.3324058
2017-18,1,Jammu and Kashmir,2017-09,2017-09-01,63.3886318,136.5386566,107.0046987,4.9174581,319.7660453
2017-18,1,Jammu and Kashmir,2017-10,2017-10-01,66.2722073,113.1769893,108.0590888,3.0859659,287.7106758
2017-18,1,Jammu and Kashmir,2017-11,2017-11-01,86.142899,120.3191505,99.5263588,12.8260461,298.9437627
2017-18,1,Jammu and Kashmir,2017-12,2017-12-01,92.2078536,143.6735231,83.9737685,0.9239451,314.7141357
2017-18,1,Jammu and Kashmir,2018-01,2018-01-01,71.5804401,144.5840746,65.2115515,4.3726415,306.3761212
2017-18,1,Jammu and Kashmir,2018-02,2018-02-01,65.7712347,124.990154,71.1297637,1.5856329,269.2859907
2017-18,1,Jammu and Kashmir,2018-03,2018-03-01,65.7712347,114.292826,75.8861302,2.0296964,257.9798873
2017-18,2,Himachal Pradesh,2017-07,2017-07-01,88.0594898,0.0873693,0.0002056,1e-07,0.1749472
2017-18,2,Himachal Pradesh,2017-08,2017-08-01,90.2474973,133.7455991,600.5886974,1.103636,823.4974223
2017-18,2,Himachal Pradesh,2017-09,2017-09-01,70.7707847,134.9414029,518.7155355,1.6695002,745.5739359
2017-18,2,Himachal Pradesh,2017-10,2017-10-01,70.4894807,133.4158849,494.6760923,1.526841,700.3896029
2017-18,2,Himachal Pradesh,2017-11,2017-11-01,74.2427206,117.7803226,460.0816994,1.0529294,649.4044321
2017-18,2,Himachal Pradesh,2017-12,2017-12-01,78.4351514,109.6774523,432.6197533,1.2720989,617.8120251
2017-18,2,Himachal Pradesh,2018-01,2018-01-01,70.6433327,125.2484757,394.3831927,1.5925772,599.659397
2017-18,2,Himachal Pradesh,2018-02,2018-02-01,72.55716,106.801045,382.7985805,1.4508683,561.6938265
2017-18,2,Himachal Pradesh,2018-03,2018-03-01,72.55716,119.8665703,417.9777107,0.5581432,610.9595842
2017-18,3,Punjab,2017-07,2017-07-01,313.4519981,0.6503293,1.969441,1e-07,2.7232524
2017-18,3,Punjab,2017-08,2017-08-01,276.487185,577.3845015,618.4983556,12.5010669,1521.8359221
2017-18,3,Punjab,2017-09,2017-09-01,263.7973041,491.6501728,507.0273253,13.8748551,1289.0395382
2017-18,3,Punjab,2017-10,2017-10-01,245.9630234,477.6332186,522.0936516,13.4868215,1277.0109958
2017-18,3,Punjab,2017-11,2017-11-01,225.8315853,442.9073679,504.9265183,11.141439,1204.9383486
2017-18,3,Punjab,2017-12,2017-12-01,239.7302191,390.3454851,455.6675667,5.6241042,1077.4687413
2017-18,3,Punjab,2018-01,2018-01-01,240.1752684,424.3364906,410.8118245,12.6380899,1087.5166241
2017-18,3,Punjab,2018-02,2018-02-01,254.8529662,385.2827365,427.9497642,7.6679787,1061.0757478
2017-18,3,Punjab,2018-03,2018-03-01,254.8529662,411.2805802,444.5731497,10.2718042,1120.9785003
2017-18,4,Chandigarh,2017-07,2017-07-01,39.6548056,0.0292063,0.3255851,0.0,0.3740571
2017-18,4,Chandigarh,2017-08,2017-08-01,31.9431275,58.8880507,76.1456666,0.2893284,174.9778513
2017-18,4,Chandigarh,2017-09,2017-09-01,29.2535349,43.6828629,70.9854633,1.0305238,147.6419775
2017-18,4,Chandigarh,2017-10,2017-10-01,30.3327115,42.090451,72.2341059,1.0320485,144.6101403
2017-18,4,Chandigarh,2017-11,2017-11-01,26.7790931,45.769783,68.621873,0.5781229,145.3024904
2017-18,4,Chandigarh,2017-12,2017-12-01,27.0128345,37.598673,67.4587186,0.617049,132.4535337
2017-18,4,Chandigarh,2018-01,2018-01-01,28.0576155,41.5259537,77.641589,1.3465325,147.5269097
2017-18,4,Chandigarh,2018-02,2018-02-01,25.6728364,40.6326608,71.9460277,0.4245597,141.0608637
2017-18,4,Chandigarh,2018-03,2018-03-01,25.6728364,36.007385,74.2847142,0.1822168,136.1471524
2017-18,5,Uttarakhand,2017-07,2017-07-01,150.3813691,0.0695239,0.0439389,1e-07,0.1853849
2017-18,5,Uttarakhand,2017-08,2017-08-01,150.1348634,285.4311498,1241.9076625,15.1256928,1692.8458742
2017-18,5,Uttarakhand,2017-09,2017-09-01,143.495501,307.5287592,998.8076825,14.9510509,1471.422356
2017-18,5,Uttarakhand,2017-10,2017-10-01,143.5299044,278.7185118,1240.6174829,22.9700581,1685.8015538
2017-18,5,Uttarakhand,2017-11,2017-11-01,132.3868362,306.8650423,763.447361,24.2708336,1238.1131413
2017-18,5,Uttarakhand,2017-12,2017-12-01,153.5881025,263.5000102,778.4923313,11.7993618,1186.1785395
2017-18,5,Uttarakhand,2018-01,2018-01-01,140.6859352,268.7134704,825.158999,14.2724765,1261.7330484
2017-18,5,Uttarakhand,2018-02,2018-02-01,162.2889183,274.4461053,730.5432778,20.673688,1166.3490063
2017-18,5,Uttarakhand,2018-03,2018-03-01,162.2889183,303.4001355,777.714463,21.0380335,1264.4415503
2017-18,6,Haryana,2017-07,2017-07-01,799.7509955,0.1966987,0.5050322,1.3e-05,0.8969496
2017-18,6,Haryana,2017-08,2017-08-01,747.8864385,1271.5505023,2256.5389078,342.6847731,4670.5251787
2017-18,6,Haryana,2017-09,2017-09-01,700.0331862,1147.9582001,3181.0690572,363.2573264,5440.1710222
