financial_year,state_code,state,month,month_date,eligible,on_time,late,total_filed,filing_pct
2017-18,01,Jammu and Kashmir,2017-07,2017-07-01,52455.0,38766.0,7346.0,46112.0,0.8790773043561148
2017-18,01,Jammu and Kashmir,2017-08,2017-08-01,23864.0,17338.0,2294.0,19632.0,0.8226617499161918
2017-18,01,Jammu and Kashmir,2017-09,2017-09-01,62528.0,44930.0,10922.0,55852.0,0.8932318321392017
2017-18,01,Jammu and Kashmir,2017-10,2017-10-01,25413.0,18405.0,2805.0,21210.0,0.8346122063510801
2017-18,01,Jammu and Kashmir,2017-11,2017-11-01,26079.0,18699.0,3099.0,21798.0,0.8358449327044749
2017-18,01,Jammu and Kashmir,2017-12,2017-12-01,66074.0,45665.0,13290.0,58955.0,0.8922571662075854
2017-18,01,Jammu and Kashmir,2018-01,2018-01-01,27196.0,18497.0,3810.0,22307.0,0.8202309163112222
2017-18,01,Jammu and Kashmir,2018-02,2018-02-01,27817.0,18381.0,4213.0,22594.0,0.8122371211848869
2017-18,01,Jammu and Kashmir,2018-03,2018-03-01,71741.0,44615.0,17928.0,62543.0,0.8717887958071395
2017-18,02,Himachal Pradesh,2017-07,2017-07-01,53013.0,41795.0,6895.0,48690.0,0.9184539641220079
2017-18,02,Himachal Pradesh,2017-08,2017-08-01,22018.0,15849.0,1616.0,17465.0,0.7932146425651739
2017-18,02,Himachal Pradesh,2017-09,2017-09-01,61691.0,46919.0,9535.0,56454.0,0.9151091731370864
2017-18,02,Himachal Pradesh,2017-10,2017-10-01,21474.0,16263.0,1737.0,18000.0,0.8382229673093042
2017-18,02,Himachal Pradesh,2017-11,2017-11-01,21456.0,16321.0,1975.0,18296.0,0.8527218493661447
2017-18,02,Himachal Pradesh,2017-12,2017-12-01,60956.0,46128.0,9982.0,56110.0,0.9205000328105519
2017-18,02,Himachal Pradesh,2018-01,2018-01-01,22180.0,16298.0,2254.0,18552.0,0.836429215509468
2017-18,02,Himachal Pradesh,2018-02,2018-02-01,22607.0,16260.0,2516.0,18776.0,0.8305392135179369
2017-18,02,Himachal Pradesh,2018-03,2018-03-01,67470.0,48805.0,12774.0,61579.0,0.9126871202015711
2017-18,03,Punjab,2017-07,2017-07-01,220786.0,184145.0,22956.0,207101.0,0.9380169032456768
2017-18,03,Punjab,2017-08,2017-08-01,86189.0,70068.0,2399.0,72467.0,0.840791748366961
2017-18,03,Punjab,2017-09,2017-09-01,247374.0,208887.0,26173.0,235060.0,0.9502211226725525
2017-18,03,Punjab,2017-10,2017-10-01,84164.0,72581.0,2723.0,75304.0,0.8947293379592225
2017-18,03,Punjab,2017-11,2017-11-01,84375.0,73023.0,3195.0,76218.0,0.9033244444444445
2017-18,03,Punjab,2017-12,2017-12-01,254559.0,215323.0,28238.0,243561.0,0.9567958705054624
2017-18,03,Punjab,2018-01,2018-01-01,85473.0,73073.0,3606.0,76679.0,0.8971137084225428
2017-18,03,Punjab,2018-02,2018-02-01,86098.0,72955.0,4030.0,76985.0,0.8941554972240935
2017-18,03,Punjab,2018-03,2018-03-01,264808.0,218293.0,33172.0,251465.0,0.9496125494698046
2017-18,04,Chandigarh,2017-07,2017-07-01,20632.0,16980.0,3065.0,20045.0,0.9715490500193874
2017-18,04,Chandigarh,2017-08,2017-08-01,9277.0,7966.0,358.0,8324.0,0.8972728252667889
2017-18,04,Chandigarh,2017-09,2017-09-01,23418.0,18942.0,3417.0,22359.0,0.9547783756085063
2017-18,04,Chandigarh,2017-10,2017-10-01,9465.0,8211.0,406.0,8617.0,0.91040676175383
2017-18,04,Chandigarh,2017-11,2017-11-01,9528.0,8279.0,448.0,8727.0,0.9159319899244333
2017-18,04,Chandigarh,2017-12,2017-12-01,24261.0,19525.0,3626.0,23151.0,0.954247557808829
2017-18,04,Chandigarh,2018-01,2018-01-01,9745.0,8292.0,513.0,8805.0,0.9035402770651616
2017-18,04,Chandigarh,2018-02,2018-02-01,9830.0,8293.0,562.0,8855.0,0.9008138351983723
2017-18,04,Chandigarh,2018-03,2018-03-01,25208.0,19798.0,4102.0,23900.0,0.9481117105680736
2017-18,05,Uttarakhand,2017-07,2017-07-01,85370.0,59399.0,16188.0,75587.0,0.8854047089141385
2017-18,05,Uttarakhand,2017-08,2017-08-01,34516.0,23113.0,2894.0,26007.0,0.7534766485108355
2017-18,05,Uttarakhand,2017-09,2017-09-01,100078.0,66450.0,21057.0,87507.0,0.8743879773776454
2017-18,05,Uttarakhand,2017-10,2017-10-01,34094.0,23403.0,3416.0,26819.0,0.7866193465125828
2017-18,05,Uttarakhand,2017-11,2017-11-01,34556.0,23613.0,3913.0,27526.0,0.7965621020951499
2017-18,05,Uttarakhand,2017-12,2017-12-01,99756.0,65197.0,22127.0,87324.0,0.8753759172380609
2017-18,05,Uttarakhand,2018-01,2018-01-01,35615.0,23140.0,4638.0,27778.0,0.7799522673031026
2017-18,05,Uttarakhand,2018-02,2018-02-01,36218.0,22807.0,5093.0,27900.0,0.7703351924457452
2017-18,05,Uttarakhand,2018-03,2018-03-01,107596.0,64849.0,28025.0,92874.0,0.8631733521692256
2017-18,06,Haryana,2017-07,2017-07-01,260418.0,210196.0,39503.0,249699.0,0.9588392507430362
2017-18,06,Haryana,2017-08,2017-08-01,106224.0,90425.0,3510.0,93935.0,0.884310513631571
2017-18,06,Haryana,2017-09,2017-09-01,302837.0,237446.0,49157.0,286603.0,0.946393604480298
2017-18,06,Haryana,2017-10,2017-10-01,109560.0,93762.0,4336.0,98098.0,0.8953815261044177
2017-18,06,Haryana,2017-11,2017-11-01,111025.0,94759.0,4931.0,99690.0,0.8979058770547174
2017-18,06,Haryana,2017-12,2017-12-01,321480.0,247493.0,55484.0,302977.0,0.942444320019908
2017-18,06,Haryana,2018-01,2018-01-01,113833.0,95230.0,6027.0,101257.0,0.889522370490104
2017-18,06,Haryana,2018-02,2018-02-01,115406.0,95413.0,6694.0,102107.0,0.8847633571911339
2017-18,06,Haryana,2018-03,2018-03-01,343982.0,255642.0,65589.0,321231.0,0.9338599112744271
2017-18,07,Delhi,2017-07,2017-07-01,442968.0,372983.0,60326.0,433309.0,0.9781948131693485
2017-18,07,Delhi,2017-08,2017-08-01,156654.0,131398.0,7988.0,139386.0,0.8897698111762228
2017-18,07,Delhi,2017-09,2017-09-01,521051.0,425161.0,73185.0,498346.0,0.9564246110265597
2017-18,07,Delhi,2017-10,2017-10-01,164695.0,136316.0,9287.0,145603.0,0.8840766264913932
2017-18,07,Delhi,2017-11,2017-11-01,167887.0,137732.0,10221.0,147953.0,0.8812653749248006
2017-18,07,Delhi,2017-12,2017-12-01,558644.0,442617.0,84194.0,526811.0,0.9430173777933711
