financial_year,state_code,state,month,month_date,eligible,on_time,late,total_filed,filing_pct
2017-18,01,Jammu and Kashmir,2017-07,2017-07-01,52455.0,26501.0,22948.0,49449.0,0.9426937374892765
2017-18,01,Jammu and Kashmir,2017-08,2017-08-01,58371.0,20534.0,35123.0,55657.0,0.9535043086464169
2017-18,01,Jammu and Kashmir,2017-09,2017-09-01,62528.0,28171.0,31411.0,59582.0,0.9528851074718526
2017-18,01,Jammu and Kashmir,2017-10,2017-10-01,62319.0,33108.0,25906.0,59014.0,0.9469664147370785
2017-18,01,Jammu and Kashmir,2017-11,2017-11-01,64586.0,36389.0,24263.0,60652.0,0.939088966649119
2017-18,01,Jammu and Kashmir,2017-12,2017-12-01,66074.0,42030.0,19782.0,61812.0,0.9354965644580319
2017-18,01,Jammu and Kashmir,2018-01,2018-01-01,68002.0,42155.0,21198.0,63353.0,0.9316343636951855
2017-18,01,Jammu and Kashmir,2018-02,2018-02-01,69822.0,42923.0,21868.0,64791.0,0.9279453467388502
2017-18,01,Jammu and Kashmir,2018-03,2018-03-01,71741.0,41278.0,25076.0,66354.0,0.9249104417278823
2017-18,02,Himachal Pradesh,2017-07,2017-07-01,53013.0,31134.0,20000.0,51134.0,0.9645558636560844
2017-18,02,Himachal Pradesh,2017-08,2017-08-01,58745.0,21838.0,33932.0,55770.0,0.9493573921184781
2017-18,02,Himachal Pradesh,2017-09,2017-09-01,61691.0,30755.0,28221.0,58976.0,0.9559903389473343
2017-18,02,Himachal Pradesh,2017-10,2017-10-01,58791.0,31696.0,24019.0,55715.0,0.9476790665237876
2017-18,02,Himachal Pradesh,2017-11,2017-11-01,59931.0,35381.0,21006.0,56387.0,0.9408653284610635
2017-18,02,Himachal Pradesh,2017-12,2017-12-01,60956.0,41404.0,15735.0,57139.0,0.9373810617494587
2017-18,02,Himachal Pradesh,2018-01,2018-01-01,63084.0,42168.0,16690.0,58858.0,0.9330099549806607
2017-18,02,Himachal Pradesh,2018-02,2018-02-01,65105.0,43294.0,17384.0,60678.0,0.9320021503724752
2017-18,02,Himachal Pradesh,2018-03,2018-03-01,67470.0,43082.0,19787.0,62869.0,0.9318067289165555
2017-18,03,Punjab,2017-07,2017-07-01,220786.0,156554.0,56532.0,213086.0,0.9651246002916851
2017-18,03,Punjab,2017-08,2017-08-01,239311.0,146224.0,85978.0,232202.0,0.9702938853625617
2017-18,03,Punjab,2017-09,2017-09-01,247374.0,175334.0,67652.0,242986.0,0.9822616766515478
2017-18,03,Punjab,2017-10,2017-10-01,247069.0,184296.0,56501.0,240797.0,0.9746143789791516
2017-18,03,Punjab,2017-11,2017-11-01,250968.0,195847.0,47585.0,243432.0,0.969972267380702
2017-18,03,Punjab,2017-12,2017-12-01,254559.0,211686.0,34214.0,245900.0,0.96598431012064
2017-18,03,Punjab,2018-01,2018-01-01,257888.0,208263.0,40185.0,248448.0,0.9633949621541135
2017-18,03,Punjab,2018-02,2018-02-01,261849.0,209508.0,42303.0,251811.0,0.9616649290239795
2017-18,03,Punjab,2018-03,2018-03-01,264808.0,203351.0,51026.0,254377.0,0.9606091960967946
2017-18,04,Chandigarh,2017-07,2017-07-01,20632.0,14826.0,5853.0,20679.0,1.0022780147343933
2017-18,04,Chandigarh,2017-08,2017-08-01,22318.0,12862.0,9409.0,22271.0,0.997894076530155
2017-18,04,Chandigarh,2017-09,2017-09-01,23418.0,15474.0,7824.0,23298.0,0.9948757366128619
2017-18,04,Chandigarh,2017-10,2017-10-01,23532.0,15725.0,7337.0,23062.0,0.9800271970083291
2017-18,04,Chandigarh,2017-11,2017-11-01,23908.0,17463.0,5776.0,23239.0,0.9720177346494897
2017-18,04,Chandigarh,2017-12,2017-12-01,24261.0,19033.0,4387.0,23420.0,0.96533531181732
2017-18,04,Chandigarh,2018-01,2018-01-01,24572.0,18534.0,5089.0,23623.0,0.9613788051440664
2017-18,04,Chandigarh,2018-02,2018-02-01,24962.0,18998.0,4967.0,23965.0,0.9600592901209839
2017-18,04,Chandigarh,2018-03,2018-03-01,25208.0,18533.0,5669.0,24202.0,0.9600920342748334
2017-18,05,Uttarakhand,2017-07,2017-07-01,85370.0,34316.0,47264.0,81580.0,0.9556050134707743
2017-18,05,Uttarakhand,2017-08,2017-08-01,94845.0,26778.0,62072.0,88850.0,0.9367916073593758
2017-18,05,Uttarakhand,2017-09,2017-09-01,100078.0,36786.0,56719.0,93505.0,0.934321229441036
2017-18,05,Uttarakhand,2017-10,2017-10-01,94880.0,42018.0,45608.0,87626.0,0.9235455311973019
2017-18,05,Uttarakhand,2017-11,2017-11-01,97711.0,50544.0,38457.0,89001.0,0.9108595756874865
2017-18,05,Uttarakhand,2017-12,2017-12-01,99756.0,58927.0,31360.0,90287.0,0.9050783912747103
2017-18,05,Uttarakhand,2018-01,2018-01-01,102558.0,60515.0,31806.0,92321.0,0.900183310906999
2017-18,05,Uttarakhand,2018-02,2018-02-01,105004.0,62029.0,32143.0,94172.0,0.8968420250657118
2017-18,05,Uttarakhand,2018-03,2018-03-01,107596.0,60565.0,35823.0,96388.0,0.8958325588311833
2017-18,06,Haryana,2017-07,2017-07-01,260418.0,159587.0,97620.0,257207.0,0.9876698231305056
2017-18,06,Haryana,2017-08,2017-08-01,286641.0,130400.0,150718.0,281118.0,0.9807319957717144
2017-18,06,Haryana,2017-09,2017-09-01,302837.0,170439.0,125923.0,296362.0,0.9786188609714137
2017-18,06,Haryana,2017-10,2017-10-01,306332.0,193777.0,102616.0,296393.0,0.9675548098141885
2017-18,06,Haryana,2017-11,2017-11-01,314476.0,216728.0,84755.0,301483.0,0.9586836515346163
2017-18,06,Haryana,2017-12,2017-12-01,321480.0,240271.0,66380.0,306651.0,0.9538727136991415
2017-18,06,Haryana,2018-01,2018-01-01,329345.0,234939.0,78388.0,313327.0,0.9513640711108412
2017-18,06,Haryana,2018-02,2018-02-01,337143.0,240084.0,80020.0,320104.0,0.9494606146353328
2017-18,06,Haryana,2018-03,2018-03-01,343982.0,234211.0,91729.0,325940.0,0.947549581082731
2017-18,07,Delhi,2017-07,2017-07-01,442968.0,307172.0,141375.0,448547.0,1.012594589225407
2017-18,07,Delhi,2017-08,2017-08-01,492379.0,214872.0,276671.0,491543.0,0.998302120927172
2017-18,07,Delhi,2017-09,2017-09-01,521051.0,290005.0,226539.0,516544.0,0.9913501749348912
2017-18,07,Delhi,2017-10,2017-10-01,532973.0,312738.0,206758.0,519496.0,0.9747135408360273
2017-18,07,Delhi,2017-11,2017-11-01,546473.0,356584.0,169636.0,526220.0,0.9629386996246841
2017-18,07,Delhi,2017-12,2017-12-01,558644.0,400879.0,132877.0,533756.0,0.9554492664380178
2017-18,07,Delhi,2018-01,2018-01-01,570701.0,386553.0,155710.0,542263.0,0.9501700540212826
2017-18,07,Delhi,2018-02,2018-02-01,582444.0,389890.0,161177.0,551067.0,0.946128726538517
2017-18,07,Delhi,2018-03,2018-03-01,592372.0,379848.0,178240.0,558088.0,0.9421242057355851
2017-18,08,Rajasthan,2017-07,2017-07-01,399525.0,251205.0,139891.0,391096.0,0.9789024466554033
2017-18,08,Rajasthan,2017-08,2017-08-01,422945.0,180075.0,230399.0,410474.0,0.9705138966059417
2017-18,08,Rajasthan,2017-09,2017-09-01,435929.0,225342.0,200003.0,425345.0,0.9757208169220217
2017-18,08,Rajasthan,2017-10,2017-10-01,418736.0,252332.0,153456.0,405788.0,0.9690783691872683
2017-18,08,Rajasthan,2017-11,2017-11-01,427452.0,284148.0,127010.0,411158.0,0.9618811001001282
2017-18,08,Rajasthan,2017-12,2017-12-01,433360.0,314825.0,100707.0,415532.0,0.9588609931696511
2017-18,08,Rajasthan,2018-01,2018-01-01,442318.0,309691.0,112659.0,422350.0,0.9548560085730176
2017-18,08,Rajasthan,2018-02,2018-02-01,449574.0,310935.0,117850.0,428785.0,0.9537584468852737
2017-18,08,Rajasthan,2018-03,2018-03-01,455889.0,291092.0,143471.0,434563.0,0.9532210691637657
2017-18,09,Uttar Pradesh,2017-07,2017-07-01,738006.0,398357.0,319867.0,718224.0,0.9731953398752856
2017-18,09,Uttar Pradesh,2017-08,2017-08-01,835866.0,353698.0,446749.0,800447.0,0.9576259831121257
2017-18,09,Uttar Pradesh,2017-09,2017-09-01,887856.0,446715.0,403668.0,850383.0,0.9577938314321242
2017-18,09,Uttar Pradesh,2017-10,2017-10-01,809536.0,486652.0,282964.0,769616.0,0.9506878014072259
2017-18,09,Uttar Pradesh,2017-11,2017-11-01,834136.0,559528.0,224758.0,784286.0,0.9402375631791459
2017-18,09,Uttar Pradesh,2017-12,2017-12-01,847512.0,621454.0,171865.0,793319.0,0.936056362623774
2017-18,09,Uttar Pradesh,2018-01,2018-01-01,871836.0,620590.0,189355.0,809945.0,0.9290107313760845
2017-18,09,Uttar Pradesh,2018-02,2018-02-01,895908.0,630707.0,198377.0,829084.0,0.9254119842662416
2017-18,09,Uttar Pradesh,2018-03,2018-03-01,913159.0,620120.0,225446.0,845566.0,0.9259789368554655
2017-18,10,Bihar,2017-07,2017-07-01,187455.0,83443.0,92038.0,175481.0,0.9361233362673709
2017-18,10,Bihar,2017-08,2017-08-01,213585.0,56009.0,138276.0,194285.0,0.90963784909989
2017-18,10,Bihar,2017-09,2017-09-01,222312.0,78700.0,125347.0,204047.0,0.9178406923602864
2017-18,10,Bihar,2017-10,2017-10-01,205062.0,92955.0,93938.0,186893.0,0.9113975285523402
2017-18,10,Bihar,2017-11,2017-11-01,214100.0,106382.0,85148.0,191530.0,0.8945819710415693
2017-18,10,Bihar,2017-12,2017-12-01,219776.0,122495.0,73034.0,195529.0,0.8896740317414095
2017-18,10,Bihar,2018-01,2018-01-01,227120.0,126359.0,74265.0,200624.0,0.883339203945051
2017-18,10,Bihar,2018-02,2018-02-01,234730.0,125500.0,80564.0,206064.0,0.8778767094108124
2017-18,10,Bihar,2018-03,2018-03-01,238741.0,117767.0,91979.0,209746.0,0.8785503956170075
2017-18,11,Sikkim,2017-07,2017-07-01,3154.0,1941.0,1091.0,3032.0,0.9613189600507293
2017-18,11,Sikkim,2017-08,2017-08-01,3593.0,1444.0,1971.0,3415.0,0.9504592262733093
2017-18,11,Sikkim,2017-09,2017-09-01,3804.0,1527.0,2113.0,3640.0,0.9568874868559412
2017-18,11,Sikkim,2017-10,2017-10-01,3745.0,1818.0,1757.0,3575.0,0.9546061415220294
2017-18,11,Sikkim,2017-11,2017-11-01,3884.0,1943.0,1737.0,3680.0,0.9474768280123584
2017-18,11,Sikkim,2017-12,2017-12-01,4003.0,2321.0,1440.0,3761.0,0.9395453409942544
2017-18,11,Sikkim,2018-01,2018-01-01,4104.0,2296.0,1555.0,3851.0,0.9383528265107213
2017-18,11,Sikkim,2018-02,2018-02-01,4277.0,2380.0,1603.0,3983.0,0.9312602291325696
2017-18,11,Sikkim,2018-03,2018-03-01,4449.0,2334.0,1797.0,4131.0,0.9285232636547539
2017-18,12,Arunachal Pradesh,2017-07,2017-07-01,4103.0,1212.0,2555.0,3767.0,0.918108700950524
2017-18,12,Arunachal Pradesh,2017-08,2017-08-01,5300.0,716.0,3918.0,4634.0,0.8743396226415094
2017-18,12,Arunachal Pradesh,2017-09,2017-09-01,6068.0,1075.0,4132.0,5207.0,0.8581081081081081
2017-18,12,Arunachal Pradesh,2017-10,2017-10-01,6212.0,1478.0,3902.0,5380.0,0.8660656793303284
2017-18,12,Arunachal Pradesh,2017-11,2017-11-01,6518.0,1666.0,3946.0,5612.0,0.8610003068425898
2017-18,12,Arunachal Pradesh,2017-12,2017-12-01,6705.0,2022.0,3773.0,5795.0,0.8642803877703207
2017-18,12,Arunachal Pradesh,2018-01,2018-01-01,6982.0,2222.0,3774.0,5996.0,0.8587797192781438
2017-18,12,Arunachal Pradesh,2018-02,2018-02-01,7381.0,2406.0,3871.0,6277.0,0.8504267714401843
2017-18,12,Arunachal Pradesh,2018-03,2018-03-01,8072.0,2292.0,4500.0,6792.0,0.8414271555996036
2017-18,13,Nagaland,2017-07,2017-07-01,3917.0,934.0,2538.0,3472.0,0.8863926474342609
2017-18,13,Nagaland,2017-08,2017-08-01,4679.0,564.0,3401.0,3965.0,0.8474032913015601
2017-18,13,Nagaland,2017-09,2017-09-01,4915.0,772.0,3466.0,4238.0,0.8622583926754832
2017-18,13,Nagaland,2017-10,2017-10-01,4750.0,938.0,3134.0,4072.0,0.8572631578947368
2017-18,13,Nagaland,2017-11,2017-11-01,4877.0,970.0,3136.0,4106.0,0.8419110108673364
2017-18,13,Nagaland,2017-12,2017-12-01,4778.0,1260.0,2805.0,4065.0,0.8507743825868564
2017-18,13,Nagaland,2018-01,2018-01-01,4855.0,1533.0,2560.0,4093.0,0.843048403707518
2017-18,13,Nagaland,2018-02,2018-02-01,4849.0,1405.0,2645.0,4050.0,0.8352237574757682
2017-18,13,Nagaland,2018-03,2018-03-01,4904.0,1430.0,2643.0,4073.0,0.8305464926590538
2017-18,14,Manipur,2017-07,2017-07-01,4283.0,1431.0,2412.0,3843.0,0.8972682699042727
2017-18,14,Manipur,2017-08,2017-08-01,5619.0,787.0,4033.0,4820.0,0.8578038796938957
