financial_year,state_code,state,month,month_date,regular,adhoc,total
2017-18,01,Jammu and Kashmir,2017-08,2017-08-01,83.416209933,0.0,83.416209933
2017-18,01,Jammu and Kashmir,2017-09,2017-09-01,142.5625083,0.0,142.5625083
2017-18,01,Jammu and Kashmir,2017-10,2017-10-01,195.822291023,0.0,195.822291023
2017-18,01,Jammu and Kashmir,2017-11,2017-11-01,209.2640667,0.0,209.2640667
2017-18,01,Jammu and Kashmir,2017-12,2017-12-01,186.7083431,0.0,186.7083431
2017-18,01,Jammu and Kashmir,2018-01,2018-01-01,224.5296727,0.0,224.5296727
2017-18,01,Jammu and Kashmir,2018-02,2018-02-01,180.3924607,209.0,389.3924607
2017-18,01,Jammu and Kashmir,2018-03,2018-03-01,178.8209721,0.0,178.8209721
2017-18,02,Himachal Pradesh,2017-08,2017-08-01,63.515337667999994,0.0,63.515337667999994
2017-18,02,Himachal Pradesh,2017-09,2017-09-01,68.5992304,0.0,68.5992304
2017-18,02,Himachal Pradesh,2017-10,2017-10-01,75.951647506,0.0,75.951647506
2017-18,02,Himachal Pradesh,2017-11,2017-11-01,107.9755191,0.0,107.9755191
2017-18,02,Himachal Pradesh,2017-12,2017-12-01,91.6474698,0.0,91.6474698
2017-18,02,Himachal Pradesh,2018-01,2018-01-01,105.6253327,0.0,105.6253327
2017-18,02,Himachal Pradesh,2018-02,2018-02-01,89.3946239,159.0,248.3946239
2017-18,02,Himachal Pradesh,2018-03,2018-03-01,89.8820517,0.0,89.8820517
2017-18,03,Punjab,2017-08,2017-08-01,277.15933738,0.0,277.15933738
2017-18,03,Punjab,2017-09,2017-09-01,449.5899493,0.0,449.5899493
2017-18,03,Punjab,2017-10,2017-10-01,478.661802838,0.0,478.661802838
2017-18,03,Punjab,2017-11,2017-11-01,488.6274136,0.0,488.6274136
2017-18,03,Punjab,2017-12,2017-12-01,466.5992976,0.0,466.5992976
2017-18,03,Punjab,2018-01,2018-01-01,525.9906628,0.0,525.9906628
2017-18,03,Punjab,2018-02,2018-02-01,498.9236344,633.0,1131.9236344
2017-18,03,Punjab,2018-03,2018-03-01,478.4475321,0.0,478.4475321
2017-18,04,Chandigarh,2017-08,2017-08-01,34.907894399,0.0,34.907894399
2017-18,04,Chandigarh,2017-09,2017-09-01,56.4019194,0.0,56.4019194
2017-18,04,Chandigarh,2017-10,2017-10-01,64.695050165,0.0,64.695050165
2017-18,04,Chandigarh,2017-11,2017-11-01,57.516165,0.0,57.516165
2017-18,04,Chandigarh,2017-12,2017-12-01,60.3601771,0.0,60.3601771
2017-18,04,Chandigarh,2018-01,2018-01-01,63.5817111,0.0,63.5817111
2017-18,04,Chandigarh,2018-02,2018-02-01,56.8274966,64.0,120.8274966
2017-18,04,Chandigarh,2018-03,2018-03-01,59.4119343,0.0,59.4119343
2017-18,05,Uttarakhand,2017-08,2017-08-01,-40.988784233,0.0,-40.988784233
2017-18,05,Uttarakhand,2017-09,2017-09-01,-21.5711008,0.0,-21.5711008
2017-18,05,Uttarakhand,2017-10,2017-10-01,-9.868357559,0.0,-9.868357559
2017-18,05,Uttarakhand,2017-11,2017-11-01,27.9778129,0.0,27.9778129
2017-18,05,Uttarakhand,2017-12,2017-12-01,38.1013922,0.0,38.1013922
2017-18,05,Uttarakhand,2018-01,2018-01-01,80.0718263,0.0,80.0718263
2017-18,05,Uttarakhand,2018-02,2018-02-01,23.0583717,217.0,240.0583717
2017-18,05,Uttarakhand,2018-03,2018-03-01,8.125983,0.0,8.125983
2017-18,06,Haryana,2017-08,2017-08-01,-286.673182849,0.0,-286.673182849
2017-18,06,Haryana,2017-09,2017-09-01,113.7607823,0.0,113.7607823
2017-18,06,Haryana,2017-10,2017-10-01,232.71287438599995,0.0,232.71287438599995
2017-18,06,Haryana,2017-11,2017-11-01,152.6402818,0.0,152.6402818
2017-18,06,Haryana,2017-12,2017-12-01,380.4468636,0.0,380.4468636
2017-18,06,Haryana,2018-01,2018-01-01,351.9916294,0.0,351.9916294
2017-18,06,Haryana,2018-02,2018-02-01,402.4962071,667.0,1069.4962071
2017-18,06,Haryana,2018-03,2018-03-01,294.2518196,0.0,294.2518196
2017-18,07,Delhi,2017-08,2017-08-01,448.411678126,0.0,448.411678126
2017-18,07,Delhi,2017-09,2017-09-01,641.0952109,0.0,641.0952109
2017-18,07,Delhi,2017-10,2017-10-01,752.272137476,0.0,752.272137476
2017-18,07,Delhi,2017-11,2017-11-01,750.6795871,0.0,750.6795871
2017-18,07,Delhi,2017-12,2017-12-01,695.9459706,0.0,695.9459706
2017-18,07,Delhi,2018-01,2018-01-01,616.194482,0.0,616.194482
2017-18,07,Delhi,2018-02,2018-02-01,509.6861896,735.0,1244.6861896
2017-18,07,Delhi,2018-03,2018-03-01,510.6561364,0.0,510.6561364
2017-18,08,Rajasthan,2017-08,2017-08-01,403.370320584,0.0,403.370320584
2017-18,08,Rajasthan,2017-09,2017-09-01,573.7301801,0.0,573.7301801
2017-18,08,Rajasthan,2017-10,2017-10-01,641.200370076,0.0,641.200370076
2017-18,08,Rajasthan,2017-11,2017-11-01,684.0857072,0.0,684.0857072
2017-18,08,Rajasthan,2017-12,2017-12-01,758.1343006,0.0,758.1343006
2017-18,08,Rajasthan,2018-01,2018-01-01,679.0114866,0.0,679.0114866
2017-18,08,Rajasthan,2018-02,2018-02-01,672.8339427,751.0,1423.8339427
2017-18,08,Rajasthan,2018-03,2018-03-01,713.4454286,0.0,713.4454286
2017-18,09,Uttar Pradesh,2017-08,2017-08-01,1553.760259468,0.0,1553.760259468
2017-18,09,Uttar Pradesh,2017-09,2017-09-01,1195.1561722,0.0,1195.1561722
2017-18,09,Uttar Pradesh,2017-10,2017-10-01,1513.418243806,0.0,1513.418243806
2017-18,09,Uttar Pradesh,2017-11,2017-11-01,1689.8046624,0.0,1689.8046624
2017-18,09,Uttar Pradesh,2017-12,2017-12-01,1637.8167242,0.0,1637.8167242
2017-18,09,Uttar Pradesh,2018-01,2018-01-01,1686.5370237,0.0,1686.5370237
2017-18,09,Uttar Pradesh,2018-02,2018-02-01,1581.4593474,1460.0,3041.4593474000003
2017-18,09,Uttar Pradesh,2018-03,2018-03-01,1637.9542435,0.0,1637.9542435
2017-18,10,Bihar,2017-08,2017-08-01,275.49749987800004,0.0,275.49749987800004
2017-18,10,Bihar,2017-09,2017-09-01,346.1348191,0.0,346.1348191
2017-18,10,Bihar,2017-10,2017-10-01,491.63324092399995,0.0,491.63324092399995
2017-18,10,Bihar,2017-11,2017-11-01,528.4421554,0.0,528.4421554
2017-18,10,Bihar,2017-12,2017-12-01,565.2158053,0.0,565.2158053
2017-18,10,Bihar,2018-01,2018-01-01,537.1072582,0.0,537.1072582
2017-18,10,Bihar,2018-02,2018-02-01,549.8922631,552.0,1101.8922631
2017-18,10,Bihar,2018-03,2018-03-01,538.0330477,0.0,538.0330477
2017-18,11,Sikkim,2017-08,2017-08-01,5.263705756,0.0,5.263705756
2017-18,11,Sikkim,2017-09,2017-09-01,6.7459503,0.0,6.7459503
2017-18,11,Sikkim,2017-10,2017-10-01,6.138237103,0.0,6.138237103
2017-18,11,Sikkim,2017-11,2017-11-01,10.4368823,0.0,10.4368823
2017-18,11,Sikkim,2017-12,2017-12-01,10.7436212,0.0,10.7436212
2017-18,11,Sikkim,2018-01,2018-01-01,10.7411793,0.0,10.7411793
2017-18,11,Sikkim,2018-02,2018-02-01,10.2224175,11.0,21.2224175
2017-18,11,Sikkim,2018-03,2018-03-01,16.2146242,0.0,16.2146242
2017-18,12,Arunachal Pradesh,2017-08,2017-08-01,9.742984068,0.0,9.742984068
2017-18,12,Arunachal Pradesh,2017-09,2017-09-01,10.3357294,0.0,10.3357294
2017-18,12,Arunachal Pradesh,2017-10,2017-10-01,13.96429066,0.0,13.96429066
2017-18,12,Arunachal Pradesh,2017-11,2017-11-01,17.8050581,0.0,17.8050581
2017-18,12,Arunachal Pradesh,2017-12,2017-12-01,21.69439,0.0,21.69439
2017-18,12,Arunachal Pradesh,2018-01,2018-01-01,34.8623447,0.0,34.8623447
2017-18,12,Arunachal Pradesh,2018-02,2018-02-01,22.9144016,11.0,33.914401600000005
2017-18,12,Arunachal Pradesh,2018-03,2018-03-01,21.2078715,0.0,21.2078715
2017-18,13,Nagaland,2017-08,2017-08-01,8.150066566,0.0,8.150066566
2017-18,13,Nagaland,2017-09,2017-09-01,9.9493219,0.0,9.9493219
2017-18,13,Nagaland,2017-10,2017-10-01,12.214177109,0.0,12.214177109
2017-18,13,Nagaland,2017-11,2017-11-01,16.5077745,0.0,16.5077745
2017-18,13,Nagaland,2017-12,2017-12-01,19.3845375,0.0,19.3845375
2017-18,13,Nagaland,2018-01,2018-01-01,25.5734601,0.0,25.5734601
2017-18,13,Nagaland,2018-02,2018-02-01,23.126357,11.0,34.126357
2017-18,13,Nagaland,2018-03,2018-03-01,18.3622908,0.0,18.3622908
2017-18,14,Manipur,2017-08,2017-08-01,11.099198551,0.0,11.099198551
2017-18,14,Manipur,2017-09,2017-09-01,17.1885536,0.0,17.1885536
2017-18,14,Manipur,2017-10,2017-10-01,19.469384612,0.0,19.469384612
2017-18,14,Manipur,2017-11,2017-11-01,24.7376419,0.0,24.7376419
2017-18,14,Manipur,2017-12,2017-12-01,28.7596799,0.0,28.7596799
2017-18,14,Manipur,2018-01,2018-01-01,29.2038965,0.0,29.2038965
2017-18,14,Manipur,2018-02,2018-02-01,41.1742725,15.0,56.1742725
2017-18,14,Manipur,2018-03,2018-03-01,39.2839478,0.0,39.2839478
2017-18,15,Mizoram,2017-08,2017-08-01,6.538387603,0.0,6.538387603
2017-18,15,Mizoram,2017-09,2017-09-01,9.244128,0.0,9.244128
2017-18,15,Mizoram,2017-10,2017-10-01,9.930500304999999,0.0,9.930500304999999
2017-18,15,Mizoram,2017-11,2017-11-01,13.9832878,0.0,13.9832878
2017-18,15,Mizoram,2017-12,2017-12-01,20.481412,0.0,20.481412
2017-18,15,Mizoram,2018-01,2018-01-01,17.3329133,0.0,17.3329133
2017-18,15,Mizoram,2018-02,2018-02-01,26.2002929,8.0,34.2002929
2017-18,15,Mizoram,2018-03,2018-03-01,19.7974246,0.0,19.7974246
2017-18,16,Tripura,2017-08,2017-08-01,15.950627469,0.0,15.950627469
2017-18,16,Tripura,2017-09,2017-09-01,23.5547817,0.0,23.5547817
2017-18,16,Tripura,2017-10,2017-10-01,35.995233285,0.0,35.995233285
2017-18,16,Tripura,2017-11,2017-11-01,34.1639998,0.0,34.1639998
2017-18,16,Tripura,2017-12,2017-12-01,44.3228879,0.0,44.3228879
2017-18,16,Tripura,2018-01,2018-01-01,43.9051765,0.0,43.9051765
2017-18,16,Tripura,2018-02,2018-02-01,45.5128238,35.0,80.5128238
2017-18,16,Tripura,2018-03,2018-03-01,38.0336464,0.0,38.0336464
2017-18,17,Meghalaya,2017-08,2017-08-01,12.332035659999999,0.0,12.332035659999999
2017-18,17,Meghalaya,2017-09,2017-09-01,22.0538805,0.0,22.0538805
2017-18,17,Meghalaya,2017-10,2017-10-01,24.890691734,0.0,24.890691734
2017-18,17,Meghalaya,2017-11,2017-11-01,25.3175235,0.0,25.3175235
2017-18,17,Meghalaya,2017-12,2017-12-01,26.2695814,0.0,26.2695814
2017-18,17,Meghalaya,2018-01,2018-01-01,34.6984196,0.0,34.6984196
2017-18,17,Meghalaya,2018-02,2018-02-01,32.4356094,28.0,60.4356094
2017-18,17,Meghalaya,2018-03,2018-03-01,28.5944671,0.0,28.5944671
2017-18,18,Assam,2017-08,2017-08-01,121.12894488699999,0.0,121.12894488699999
2017-18,18,Assam,2017-09,2017-09-01,166.1934243,0.0,166.1934243
2017-18,18,Assam,2017-10,2017-10-01,236.57492206700002,0.0,236.57492206700002
2017-18,18,Assam,2017-11,2017-11-01,255.5112174,0.0,255.5112174
2017-18,18,Assam,2017-12,2017-12-01,285.7306332,0.0,285.7306332
2017-18,18,Assam,2018-01,2018-01-01,309.8890836,0.0,309.8890836
2017-18,18,Assam,2018-02,2018-02-01,311.6080085,262.0,573.6080085
2017-18,18,Assam,2018-03,2018-03-01,291.2671554,0.0,291.2671554
2017-18,19,West Bengal,2017-08,2017-08-01,329.732899296,0.0,329.732899296
2017-18,19,West Bengal,2017-09,2017-09-01,566.610223,0.0,566.610223
2017-18,19,West Bengal,2017-10,2017-10-01,734.761652593,0.0,734.761652593
2017-18,19,West Bengal,2017-11,2017-11-01,737.191482,0.0,737.191482
2017-18,19,West Bengal,2017-12,2017-12-01,734.7670865,0.0,734.7670865
2017-18,19,West Bengal,2018-01,2018-01-01,826.744435,0.0,826.744435
2017-18,19,West Bengal,2018-02,2018-02-01,648.2685339,879.0,1527.2685339
2017-18,19,West Bengal,2018-03,2018-03-01,745.8531767,0.0,745.8531767
2017-18,20,Jharkhand,2017-08,2017-08-01,127.04108541,0.0,127.04108541
2017-18,20,Jharkhand,2017-09,2017-09-01,69.6643136,0.0,69.6643136
2017-18,20,Jharkhand,2017-10,2017-10-01,125.768509918,0.0,125.768509918
2017-18,20,Jharkhand,2017-11,2017-11-01,156.3578321,0.0,156.3578321
